genes from figure 4a in the phoB paper: selected group of genes ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,Lewin et al. ,,,
name,PA ID,Human_Sputum_B,Human_Sputum_A,Human_Sputum_C,Human_Sputum_D,Human_Sputum_E,Human_Sputum_F,Human_Sputum_G,HumanSputum_EM55B,HumanSputum_EM59,HumanSputum_EM60B,HumanSputum_EM13,HumanSputum_EM24,HumanSputum_EM30,HumanSputum_EM33,HumanSputum_EM35B,HumanSputum_EM36,HumanSputum_EM37B,HumanSputum_EM43,HumanSputum_EM48B,HumanSputum_EM49,HumanSputum_EM53B,HumanSputum_EM6,HumanSputum_EM61,HumanSputum_EM70,Rn_PAO1_SCFM2_3,Rn_PAO1_SCFM2_4,Rn_PAO1_SCFM2_5,Rn_PAO1_SCFM2_6,Rn_PAO1_SCFM2_7,Rn_PAO1_SCFM2_8,Rn_PAO1_SCFM2_9,Rn_PAO1_SCFM2_10,Rn_PAO1_SCFM2_11,Rn_PAO1_SCFM2_12,Rn_PAO1_SCFM2_13,Rn_PAO1_SCFM2_14,Rn_PAO1_SCFM2_15,Rn_PAO1_SCFM2_16,Rn_PAO1_SCFM2_17,Rn_PAO1_SCFM2_18,Rn_PAO1_SCFM1_1,Rn_PAO1_SCFM1_2,,,
phoB,PA5360,11.19496333,11.10065996,9.571878124,8.704953936,9.626344101,9.643553392,12.35726899,8.867052907,9.727321749,10.39611584,9.442158032,8.026882031,9.940170398,8.419893224,10.30698995,10.54345756,9.582400754,9.041832373,9.348810126,8.969166533,8.979185289,11.10977504,7.80448961,10.29093957,8.821677542,8.67450014,8.903823635,8.170860953,8.325726513,8.586969863,8.492545603,8.769973728,8.475866862,8.870762829,8.169393676,7.947494576,8.104684183,8.973136459,8.84769176,8.883390437,8.783967268,8.626344101,,,
phoA,PA3296,5.831866049,7.44191953,4.833110288,6.579423054,6.567450412,6.119991435,7.614258962,5.5511486,7.763847625,6.026882031,5.83072332,3.44191953,6.44191953,7.204880333,7.471065876,6.85695703,5.567450412,5.611844532,7.944419871,7.524381691,5.543799144,2.48772322,5.219527109,6.198493323,3.103689623,3.66807387,3.713999076,2.705738223,3.634564608,2.741479812,3.634564608,2.472293179,0.727674013,3.156517311,2.511182193,2.656817415,3.123793006,3.553176281,3.154571667,3.041040094,2.985225477,4.204880333,,,
lapA,PA0688,3.583938535,5.49438695,3.511182193,6.289916437,4.982487912,4.119991435,5.007100715,4.136111101,5.44191953,4.44191953,5.660798318,3.44191953,3.119991435,6.397525411,5.527649404,3.85695703,2.982487912,7.868184285,6.178885125,3.354456689,3.084367526,7.773125439,3.634564608,4.695992982,4.644258004,4.182647043,2.713999076,3.089066862,4.219527109,5.326442313,4.634564608,5.472293179,5.371530202,6.156517311,4.449781648,3.434424994,4.984389949,4.507372592,4.228572249,4.684896284,5.843206472,6.304416007,,,
phzM,PA4209,6.168901036,7.008960123,5.418072788,7.026882031,6.152412913,5.704953936,8.35232543,2.5511486,5.763847625,5.44191953,5.245760819,7.44191953,6.927346358,3.982487912,6.350771642,3.85695703,5.567450412,7.249274452,6.44191953,5.676384784,7.756792868,6.880040643,6.219527109,5.754886671,6.557147341,6.320150567,5.620889671,6.861656366,6.85695703,6.548834734,6.80448961,6.016613696,5.312636513,6.548834734,7.344072207,7.604349995,7.133253335,6.417362426,6.135462844,5.873930108,5.826527731,5.645452924,,,
phzS,PA4217,4.583938535,4.271994529,4.833110288,3.119991435,2.982487912,4.119991435,8.362195674,1.966186099,4.763847625,5.44191953,2.660798318,3.44191953,5.927346358,2.397525411,5.734100282,5.85695703,6.304416007,6.965481486,3.85695703,6.676384784,8.128761645,7.575186061,5.219527109,3.918385404,4.666625818,4.990001965,4.521353998,4.485957015,5.297529621,5.989407326,3.634564608,3.209258774,3.535028935,4.156517311,6.135673058,6.719827213,4.335297111,4.308063784,4.154571667,4.741479812,4.207617898,3.397525411,,,
oprO,PA3280,8.325405522,9.096422964,8.125892037,8.026882031,6.567450412,9.674580287,11.09948912,9.462041126,7.396115841,9.142359248,8.275508162,6.763847625,6.289916437,7.789842834,9.678958728,10.16073778,8.408752666,8.026882031,10.48631365,8.846309785,8.865727239,10.60146539,8.093996227,9.459758636,4.948038753,5.286983703,5.414438794,4.372000826,5.956492703,6.385336002,5.219527109,5.841526989,4.727674013,5.156517311,5.318537115,4.097390007,5.250904924,5.386066296,5.366075772,4.626002595,5.740112979,4.982487912,,,
opdQ,PA3038,7.227794725,5.49438695,7.393825242,8.329444801,8.654913254,7.44191953,6.938387965,4.966186099,7.651372896,7.44191953,7.660798318,8.571202547,7.820431154,6.397525411,7.44191953,7.664311952,7.840468907,7.799471535,9.249274452,8.212437684,7.991258121,7.295078142,7.335004326,7.3964327,9.395802064,9.656758557,9.708352513,9.86253579,9.398330262,9.67221715,8.278420798,8.106499199,9.346059515,8.976696274,9.990962457,10.00047903,10.2730053,10.77747949,10.75604925,11.02759324,6.915962814,7.419893224,,,
exbD2,PA0694,3.583938535,3.687032028,2.511182193,5.927346358,2.982487912,4.119991435,2.388190883,0.966186099,2.44191953,4.44191953,2.660798318,3.44191953,3.119991435,2.397525411,3.412172187,3.85695703,4.982487912,2.44191953,3.85695703,3.354456689,2.084367526,2.48772322,3.634564608,3.918385404,1.229220505,-0.139281052,1.713999076,-0.232861233,2.049602108,2.741479812,3.634564608,1.887330679,2.312636513,2.156517311,-0.073780308,1.434424994,1.683220414,0.875104376,0.491606654,2.041040094,1.722191071,1.397525411,,,
hxcT,PA0681,5.90586663,6.687032028,5.598645034,6.44191953,3.982487912,4.119991435,5.511573298,4.425617718,5.44191953,7.026882031,4.982726413,6.901351149,5.44191953,5.204880333,5.527649404,3.85695703,2.982487912,4.44191953,3.85695703,4.354456689,2.084367526,5.48772322,4.634564608,3.432958576,2.451612927,3.182647043,4.713999076,3.539728271,3.049602108,2.741479812,4.634564608,4.97479352,4.815136854,3.741479812,3.248147787,3.171390588,3.875865492,3.253616,2.813534749,1.626002595,3.307153572,3.397525411,,,
glpQ,PA0347,4.753863537,5.49438695,4.970613811,5.44191953,6.304416007,5.119991435,5.413725975,6.489748055,5.611844532,6.44191953,4.245760819,7.44191953,5.44191953,7.097965129,7.319062783,6.44191953,5.789842834,5.249274452,5.85695703,4.93941919,6.084367526,2.48772322,6.80448961,5.8114702,4.477148019,4.146121167,5.521353998,4.448962807,4.049602108,4.741479812,3.634564608,4.346762297,4.428113731,4.156517311,4.318537115,5.341315589,4.399427448,4.281096736,3.813534749,4.433357517,5.508787433,5.397525411,,,
olsA,PA4351,2.583938535,7.816315045,3.833110288,4.119991435,5.304416007,4.119991435,6.22469215,5.214113613,5.611844532,4.44191953,4.660798318,3.44191953,7.207454277,4.719453506,7.871603806,6.44191953,5.982487912,2.44191953,6.664311952,4.93941919,5.254292527,5.947154839,5.634564608,5.017921077,3.288114194,2.860718948,3.713999076,3.882615985,2.049602108,3.326442313,3.634564608,3.209258774,3.312636513,3.741479812,1.926219692,2.656817415,2.460827993,3.308063784,3.366075772,3.626002595,3.792580399,3.982487912,,,
ctpL,PA4844,4.753863537,6.271994529,4.096144693,3.119991435,5.789842834,5.704953936,5.281275679,8.010580219,4.026882031,4.44191953,2.660798318,3.44191953,4.704953936,2.397525411,5.634564608,5.44191953,2.982487912,2.44191953,4.85695703,4.93941919,4.891722448,3.48772322,4.634564608,3.695992982,6.053648941,6.060391293,6.668195386,5.372000826,6.178885125,6.326442313,6.219527109,7.116149369,6.793763203,6.85695703,5.85695703,5.521887835,5.973897575,5.962567218,5.940067155,5.822399808,6.307153572,6.719453506,,,
plcH,PA0844,5.831866049,6.008960123,5.418072788,3.119991435,2.982487912,6.119991435,6.388190883,5.666625818,6.249274452,4.44191953,5.46815324,7.44191953,3.119991435,5.982487912,4.634564608,4.85695703,6.44191953,4.026882031,4.85695703,6.524381691,4.406295621,6.880040643,6.634564608,5.111030481,4.688652124,4.926808139,3.713999076,4.504104362,5.573164064,5.648370408,5.219527109,5.642218181,4.535028935,5.156517311,5.733574614,5.604349995,4.941954683,5.060970922,4.713999076,5.288967607,5.207617898,4.85695703,,,
plcN,PA3319,5.753863537,3.687032028,3.833110288,7.026882031,5.789842834,5.119991435,4.902764055,5.966186099,5.611844532,4.44191953,6.748261159,3.44191953,6.119991435,4.719453506,6.734100282,5.85695703,5.567450412,5.44191953,3.85695703,6.161811611,5.406295621,6.295078142,3.634564608,4.432958576,4.688652124,4.320150567,4.298961576,4.182176267,4.509033726,4.326442313,5.634564608,4.472293179,3.535028935,4.478445406,4.733574614,4.604349995,4.268182915,4.435819331,3.661531656,4.041040094,4.307153572,3.397525411,,,
eddA,PA3910,6.338826037,9.35945737,6.598645034,6.44191953,5.789842834,6.119991435,7.569520647,5.666625818,7.196807033,7.611844532,6.245760819,3.44191953,5.704953936,5.982487912,6.781405997,6.178885125,7.982487912,2.44191953,7.026882031,5.354456689,5.991258121,2.48772322,6.80448961,6.017921077,6.258967849,6.136843354,5.521353998,5.147960551,5.049602108,6.063407907,6.44191953,7.668690392,4.815136854,5.326442313,5.318537115,5.803658803,5.80660283,6.138138782,6.324496669,6.063407907,5.939421787,6.526808428,,,
eddB,PA3909,5.284378253,5.008960123,4.681107194,3.119991435,2.982487912,5.704953936,6.699777033,5.288114194,7.142359248,4.44191953,6.245760819,4.44191953,4.119991435,6.304416007,5.634564608,5.44191953,4.567450412,4.026882031,6.178885125,5.676384784,4.406295621,4.809651315,3.634564608,3.111030481,3.451612927,3.253036371,3.298961576,3.226570386,2.634564608,3.741479812,4.634564608,2.887330679,2.727674013,3.156517311,3.62665941,3.656817415,3.045790494,2.640639123,2.906644154,3.041040094,0.985225477,3.982487912,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,